Ticker,GMV_Uncons,GMV_LO,Tang_Uncons,Tang_LO,HRP,EW
SPY,0.0735,-0.0,1.4649,0.9991,0.0262,0.0833
IWM,0.0588,-0.0,0.2127,0.0,0.0255,0.0833
VEA,-0.073,0.0,-0.0259,0.0,0.0263,0.0833
VWO,0.008,0.0,0.041,0.0,0.0439,0.0833
IEF.O,0.305,0.3053,0.4477,0.0009,0.2596,0.0833
LQD,-0.0525,0.0,-0.2296,0.0,0.1143,0.0833
HYG,0.4173,0.2517,-0.4709,0.0,0.1651,0.0833
TIP,0.4597,0.443,0.3635,0.0,0.221,0.0833
VNQ,-0.1628,-0.0,-0.5593,0.0,0.0509,0.0833
PSP,-0.1232,-0.0,-0.658,0.0,0.012,0.0833
WOOD.O,0.0256,0.0,-0.0537,0.0,0.0289,0.0833
IGF.O,0.0636,0.0,0.4676,0.0,0.0265,0.0833
